Vin,Vo,D1,D2,DT,Fs,Po,PIron,PCond,PCopp,PSw,Ploss
400.00,664.13,0.60,0.40,0.01,25000.00,1102.69,17.18,4.57,3.85,3.19,28.78
400.00,664.13,0.60,0.40,0.00,100000.00,2205.36,5.06,5.22,0.24,24.79,35.31
400.00,664.13,0.60,0.40,0.03,25000.00,1260.19,17.33,4.84,3.85,3.57,29.60
400.00,663.98,0.60,0.40,0.02,25000.00,1259.62,17.31,4.83,3.84,3.57,29.56
400.00,663.96,0.60,0.40,0.01,25000.00,1259.56,17.31,4.84,3.84,3.57,29.56
400.00,663.89,0.60,0.40,0.00,50000.00,2203.73,9.16,5.63,0.96,12.28,28.03
400.00,663.88,0.60,0.40,0.03,25000.00,1469.11,17.56,5.25,3.84,4.12,30.77
400.00,663.74,0.60,0.40,0.02,25000.00,1468.51,17.55,5.24,3.84,4.11,30.74
400.00,663.73,0.60,0.40,0.01,25000.00,1468.44,17.54,5.25,3.84,4.11,30.74
400.00,663.53,0.60,0.40,0.03,25000.00,1761.07,18.01,5.92,3.83,4.48,32.23
400.00,663.41,0.60,0.40,0.02,25000.00,1760.46,17.99,5.91,3.83,4.48,32.20
400.00,663.40,0.60,0.40,0.01,25000.00,1760.40,17.99,5.92,3.83,4.48,32.21
400.00,663.31,0.60,0.40,0.00,100000.00,2933.21,5.32,7.90,0.24,25.82,39.28
400.00,663.08,0.60,0.40,0.00,50000.00,2931.14,9.77,8.26,0.95,17.85,36.83
400.00,662.89,0.60,0.40,0.01,25000.00,2197.13,19.02,7.12,3.81,4.28,34.23
400.00,662.62,0.60,0.40,0.00,25000.00,4390.69,17.31,16.23,3.81,13.01,50.36
400.00,661.71,0.60,0.40,0.02,50000.00,1094.67,10.69,2.72,0.94,6.17,20.53
400.00,661.68,0.60,0.40,0.00,100000.00,4378.22,5.09,14.81,0.24,32.70,52.84
400.00,661.45,0.60,0.40,0.00,50000.00,4375.20,9.46,15.11,0.94,19.94,45.44
450.00,660.81,0.65,0.35,0.03,100000.00,970.39,2.39,1.61,0.18,25.12,29.31
450.00,660.71,0.65,0.35,0.03,100000.00,1091.34,2.54,1.82,0.18,26.12,30.66
450.00,660.57,0.65,0.35,0.03,100000.00,1246.72,2.72,2.10,0.18,27.36,32.36
450.00,660.38,0.65,0.35,0.03,100000.00,1453.69,2.93,2.51,0.18,28.76,34.38
450.00,660.34,0.65,0.35,0.03,50000.00,1245.85,4.81,2.63,0.72,14.44,22.59
450.00,660.16,0.65,0.35,0.03,50000.00,1452.68,5.23,3.00,0.71,13.14,22.09
450.00,660.13,0.65,0.35,0.03,100000.00,1743.06,3.19,3.14,0.18,29.31,35.82
400.00,660.06,0.60,0.40,0.02,25000.00,2178.39,18.60,7.05,3.73,4.32,33.70
450.00,659.90,0.65,0.35,0.03,50000.00,1741.85,5.74,3.59,0.71,10.76,20.79
450.00,659.74,0.65,0.35,0.03,100000.00,2176.27,3.48,4.22,0.18,23.64,31.51
450.00,659.51,0.65,0.35,0.03,50000.00,2174.74,6.32,4.61,0.71,14.46,26.10
450.00,659.09,0.65,0.35,0.03,100000.00,2896.03,3.74,6.34,0.18,31.58,41.84
450.00,658.86,0.65,0.35,0.03,50000.00,2894.00,6.88,6.68,0.71,16.08,30.35
450.00,657.93,0.65,0.35,0.03,25000.00,2885.83,11.80,7.94,2.80,10.43,32.98
450.00,657.81,0.65,0.35,0.03,100000.00,4327.10,3.75,11.77,0.17,39.83,55.52
450.00,657.58,0.65,0.35,0.03,50000.00,4324.05,6.96,12.05,0.70,22.09,41.80
450.00,656.64,0.65,0.35,0.03,25000.00,4311.83,12.50,13.12,2.76,11.70,40.08
400.00,654.08,0.60,0.40,0.01,50000.00,1222.34,6.36,2.96,0.89,12.59,22.80
400.00,653.86,0.60,0.40,0.01,50000.00,1425.09,6.92,3.41,0.89,12.20,23.42
400.00,653.54,0.60,0.40,0.01,50000.00,1708.48,7.57,4.12,0.89,12.85,25.43
400.00,653.07,0.60,0.40,0.01,50000.00,2132.52,8.28,5.36,0.88,12.62,27.15
400.00,652.29,0.60,0.40,0.01,50000.00,2836.51,8.88,7.85,0.88,17.28,34.89
400.00,652.06,0.60,0.40,0.03,50000.00,1062.96,9.93,2.63,0.88,5.99,19.43
400.00,651.40,0.60,0.40,0.01,25000.00,2828.83,15.18,9.17,3.49,8.30,36.14
400.00,650.72,0.60,0.40,0.01,50000.00,4234.35,8.69,14.31,0.87,18.15,42.01
400.00,650.41,0.60,0.40,0.03,25000.00,2115.19,17.22,6.77,3.46,4.43,31.88
400.00,649.85,0.60,0.40,0.01,25000.00,4223.02,15.66,15.43,3.44,12.18,46.72
350.00,646.60,0.55,0.45,0.00,100000.00,929.10,3.90,2.07,0.25,20.21,26.44
350.00,646.47,0.55,0.45,0.00,100000.00,1044.80,4.14,2.37,0.25,20.36,27.13
350.00,646.29,0.55,0.45,0.00,100000.00,1193.39,4.42,2.78,0.25,20.03,27.49
350.00,646.04,0.55,0.45,0.00,100000.00,1391.22,4.74,3.37,0.25,19.21,27.58
350.00,645.68,0.55,0.45,0.00,100000.00,1667.61,5.09,4.29,0.25,18.21,27.84
350.00,645.12,0.55,0.45,0.00,100000.00,2080.92,5.44,5.85,0.25,20.16,31.70
350.00,644.17,0.55,0.45,0.00,100000.00,2766.40,5.64,8.93,0.25,26.21,41.03
400.00,644.08,0.60,0.40,0.03,100000.00,921.87,2.86,1.77,0.21,19.07,23.91
400.00,644.08,0.60,0.40,0.02,100000.00,921.87,2.86,1.77,0.21,19.07,23.91
400.00,644.08,0.60,0.40,0.01,100000.00,921.87,2.86,1.77,0.21,19.07,23.91
400.00,643.95,0.60,0.40,0.03,100000.00,1036.69,3.04,2.00,0.21,19.27,24.52
400.00,643.95,0.60,0.40,0.02,100000.00,1036.69,3.04,2.00,0.21,19.27,24.52
400.00,643.95,0.60,0.40,0.01,100000.00,1036.69,3.04,2.00,0.21,19.27,24.52
400.00,643.79,0.60,0.40,0.03,100000.00,1184.18,3.25,2.32,0.20,19.69,25.47
400.00,643.79,0.60,0.40,0.02,100000.00,1184.18,3.25,2.32,0.20,19.69,25.47
400.00,643.79,0.60,0.40,0.01,100000.00,1184.18,3.25,2.32,0.20,19.69,25.47
400.00,643.57,0.60,0.40,0.02,50000.00,1183.39,5.73,2.85,0.82,12.37,21.76
400.00,643.57,0.60,0.40,0.02,100000.00,1380.62,3.51,2.78,0.20,20.94,27.44
400.00,643.57,0.60,0.40,0.01,100000.00,1380.62,3.51,2.78,0.20,20.94,27.44
400.00,643.57,0.60,0.40,0.03,100000.00,1380.62,3.51,2.78,0.20,20.94,27.44
400.00,643.36,0.60,0.40,0.02,50000.00,1379.72,6.23,3.27,0.82,12.50,22.82
400.00,643.27,0.60,0.40,0.03,100000.00,1655.19,3.80,3.50,0.20,23.95,31.45
400.00,643.27,0.60,0.40,0.02,100000.00,1655.19,3.80,3.50,0.20,23.95,31.45
400.00,643.27,0.60,0.40,0.01,100000.00,1655.19,3.80,3.50,0.20,23.95,31.45
400.00,643.06,0.60,0.40,0.02,50000.00,1654.11,6.82,3.95,0.81,12.14,23.72
400.00,642.82,0.60,0.40,0.02,100000.00,2066.09,4.12,4.72,0.20,24.16,33.20
400.00,642.82,0.60,0.40,0.01,100000.00,2066.09,4.12,4.72,0.20,24.16,33.20
400.00,642.82,0.60,0.40,0.03,100000.00,2066.09,4.12,4.72,0.20,24.16,33.20
400.00,642.61,0.60,0.40,0.02,50000.00,2064.76,7.48,5.12,0.81,13.42,26.83
350.00,642.25,0.55,0.45,0.00,100000.00,4124.91,5.24,16.85,0.25,31.39,53.72
400.00,642.07,0.60,0.40,0.03,100000.00,2748.36,4.38,7.13,0.20,25.09,36.80
400.00,642.07,0.60,0.40,0.02,100000.00,2748.36,4.38,7.13,0.20,25.09,36.80
400.00,642.07,0.60,0.40,0.01,100000.00,2748.36,4.38,7.13,0.20,25.09,36.80
450.00,641.90,0.70,0.30,0.01,100000.00,915.62,2.22,1.50,0.17,24.56,28.45
450.00,641.90,0.70,0.30,0.00,100000.00,915.62,2.22,1.50,0.17,24.56,28.45
400.00,641.87,0.60,0.40,0.02,50000.00,2746.64,8.06,7.47,0.81,16.22,32.56
450.00,641.86,0.70,0.30,0.00,50000.00,915.52,7.43,2.03,0.69,7.22,17.38
450.00,641.81,0.70,0.30,0.01,100000.00,1029.80,2.36,1.68,0.17,25.52,29.74
450.00,641.81,0.70,0.30,0.00,100000.00,1029.80,2.36,1.68,0.17,25.52,29.74
450.00,641.75,0.70,0.30,0.00,50000.00,1029.60,7.71,2.18,0.69,7.33,17.91
450.00,641.74,0.70,0.30,0.01,50000.00,915.18,7.43,2.05,0.69,7.22,17.39
450.00,641.73,0.70,0.30,0.03,50000.00,915.14,7.42,2.05,0.69,7.22,17.38
450.00,641.71,0.70,0.30,0.02,50000.00,915.11,7.42,2.04,0.69,7.22,17.38
450.00,641.69,0.70,0.30,0.01,100000.00,1176.48,2.53,1.93,0.17,26.72,31.35
450.00,641.69,0.70,0.30,0.00,100000.00,1176.48,2.53,1.93,0.17,26.72,31.35
450.00,641.64,0.70,0.30,0.01,50000.00,1029.26,7.70,2.20,0.69,7.33,17.93
450.00,641.61,0.70,0.30,0.00,50000.00,1176.18,4.47,2.41,0.69,14.66,22.23
450.00,641.53,0.70,0.30,0.01,100000.00,1371.89,2.73,2.30,0.17,28.19,33.39
450.00,641.53,0.70,0.30,0.00,100000.00,1371.89,2.73,2.30,0.17,28.19,33.39
450.00,641.43,0.70,0.30,0.00,50000.00,1371.43,4.87,2.74,0.69,13.94,22.24
450.00,641.31,0.70,0.30,0.01,100000.00,1645.10,2.98,2.87,0.17,29.40,35.42
450.00,641.31,0.70,0.30,0.00,100000.00,1645.10,2.98,2.87,0.17,29.40,35.42
450.00,641.16,0.70,0.30,0.00,50000.00,1644.35,5.35,3.27,0.69,11.54,20.85
400.00,640.98,0.60,0.40,0.02,25000.00,2739.01,13.81,8.75,3.20,8.18,33.95
450.00,640.96,0.70,0.30,0.01,100000.00,2054.15,3.26,3.85,0.17,26.21,33.48
450.00,640.96,0.70,0.30,0.00,100000.00,2054.15,3.26,3.85,0.17,26.21,33.48
450.00,640.79,0.70,0.30,0.00,50000.00,2053.07,5.92,4.20,0.68,12.65,23.45
450.00,640.74,0.70,0.30,0.01,25000.00,912.32,11.59,3.66,2.73,3.17,21.14
450.00,640.69,0.70,0.30,0.03,25000.00,912.20,11.58,3.64,2.73,3.16,21.11
450.00,640.65,0.70,0.30,0.01,25000.00,1026.07,11.66,3.79,2.73,3.53,21.71
450.00,640.62,0.70,0.30,0.02,25000.00,912.00,11.57,3.66,2.73,3.16,21.12
450.00,640.59,0.70,0.30,0.03,25000.00,1025.90,11.66,3.76,2.73,3.52,21.67
400.00,640.58,0.60,0.40,0.02,100000.00,4103.39,4.29,13.29,0.20,33.90,51.68
400.00,640.58,0.60,0.40,0.01,100000.00,4103.39,4.29,13.29,0.20,33.90,51.68
400.00,640.58,0.60,0.40,0.03,100000.00,4103.39,4.29,13.29,0.20,33.90,51.68
450.00,640.53,0.70,0.30,0.02,25000.00,1025.70,11.65,3.79,2.73,3.52,21.68
450.00,640.52,0.70,0.30,0.01,25000.00,1172.20,11.78,3.97,2.73,3.90,22.38
450.00,640.46,0.70,0.30,0.03,25000.00,1171.98,11.77,3.95,2.72,3.90,22.34
450.00,640.41,0.70,0.30,0.02,25000.00,1171.78,11.76,3.97,2.72,3.90,22.35
400.00,640.39,0.60,0.40,0.02,50000.00,4100.94,7.97,13.56,0.80,16.89,39.23
450.00,640.37,0.70,0.30,0.01,100000.00,2733.82,3.54,5.76,0.17,28.08,37.55
450.00,640.37,0.70,0.30,0.00,100000.00,2733.82,3.54,5.76,0.17,28.08,37.55
450.00,640.36,0.70,0.30,0.01,25000.00,1366.86,11.97,4.25,2.72,4.18,23.13
450.00,640.28,0.70,0.30,0.03,25000.00,1366.54,11.96,4.23,2.72,4.18,23.09
450.00,640.25,0.70,0.30,0.02,25000.00,1366.39,11.96,4.25,2.72,4.18,23.11
450.00,640.18,0.70,0.30,0.00,50000.00,2732.23,6.50,6.07,0.68,16.42,29.67
450.00,640.13,0.70,0.30,0.01,25000.00,1639.07,12.33,4.71,2.71,4.06,23.82
450.00,640.02,0.70,0.30,0.02,25000.00,1638.51,12.31,4.72,2.71,4.06,23.81
450.00,640.02,0.70,0.30,0.03,25000.00,1638.48,12.31,4.68,2.71,4.06,23.77
450.00,639.75,0.70,0.30,0.01,25000.00,2046.42,13.09,5.53,2.70,4.39,25.71
400.00,639.49,0.60,0.40,0.02,25000.00,4089.49,14.37,14.66,3.16,11.42,43.60
450.00,639.18,0.70,0.30,0.01,100000.00,4085.48,3.61,10.66,0.17,38.65,53.08
450.00,639.18,0.70,0.30,0.00,100000.00,4085.48,3.61,10.66,0.17,38.65,53.08
450.00,638.99,0.70,0.30,0.00,50000.00,4083.06,6.70,10.91,0.67,20.93,39.20
450.00,638.67,0.70,0.30,0.00,25000.00,1359.66,11.75,5.36,2.67,4.16,23.94
450.00,638.65,0.70,0.30,0.00,25000.00,1165.36,11.53,5.08,2.67,3.83,23.11
450.00,638.62,0.70,0.30,0.00,25000.00,1631.35,12.13,5.80,2.67,4.09,24.68
450.00,638.61,0.70,0.30,0.00,25000.00,1019.55,11.39,4.90,2.67,3.43,22.39
450.00,638.58,0.70,0.30,0.00,25000.00,906.18,11.30,4.76,2.67,3.06,21.79
450.00,638.54,0.70,0.30,0.00,25000.00,2038.70,12.92,6.58,2.67,4.35,26.52
450.00,638.37,0.70,0.30,0.00,25000.00,2716.80,10.97,8.23,2.66,10.04,31.91
450.00,637.61,0.70,0.30,0.00,25000.00,4065.49,11.93,12.68,2.64,11.00,38.25
450.00,636.86,0.70,0.30,0.02,50000.00,1013.99,7.35,2.16,0.66,7.30,17.46
450.00,635.31,0.70,0.30,0.02,25000.00,2018.09,12.48,5.41,2.58,4.24,24.71
350.00,634.93,0.55,0.45,0.00,50000.00,895.86,10.40,2.59,0.94,4.80,18.72
350.00,634.86,0.55,0.45,0.01,50000.00,895.66,10.39,2.56,0.94,4.80,18.69
350.00,634.83,0.55,0.45,0.03,50000.00,895.59,10.39,2.55,0.94,4.80,18.68
350.00,634.83,0.55,0.45,0.02,50000.00,895.58,10.39,2.55,0.94,4.80,18.68
350.00,634.77,0.55,0.45,0.00,50000.00,1007.34,10.87,2.83,0.94,4.69,19.33
350.00,634.55,0.55,0.45,0.00,50000.00,1150.45,7.00,3.18,0.94,9.14,20.26
350.00,634.27,0.55,0.45,0.00,50000.00,1341.01,7.60,3.70,0.94,8.72,20.95
350.00,634.13,0.55,0.45,0.03,25000.00,893.60,16.58,4.30,3.74,2.94,27.56
350.00,634.06,0.55,0.45,0.01,25000.00,893.42,16.57,4.30,3.74,2.93,27.54
350.00,634.01,0.55,0.45,0.02,25000.00,893.26,16.57,4.29,3.74,2.93,27.53
350.00,633.96,0.55,0.45,0.03,25000.00,1004.77,16.68,4.51,3.74,3.09,28.01
350.00,633.90,0.55,0.45,0.01,25000.00,1004.58,16.67,4.50,3.74,3.08,27.99
350.00,633.89,0.55,0.45,0.00,50000.00,1607.27,8.27,4.51,0.93,10.27,23.99
350.00,633.86,0.55,0.45,0.02,25000.00,1004.43,16.66,4.50,3.74,3.08,27.98
350.00,633.75,0.55,0.45,0.03,25000.00,1147.55,16.83,4.81,3.73,3.23,28.60
350.00,633.70,0.55,0.45,0.01,25000.00,1147.35,16.83,4.80,3.73,3.23,28.59
350.00,633.66,0.55,0.45,0.02,25000.00,1147.20,16.82,4.80,3.73,3.23,28.57
350.00,633.57,0.55,0.45,0.00,25000.00,892.03,16.51,3.74,3.73,2.93,26.91
350.00,633.47,0.55,0.45,0.03,25000.00,1337.63,17.10,5.26,3.73,3.30,29.39
350.00,633.45,0.55,0.45,0.01,50000.00,1003.15,10.77,2.79,0.93,4.70,19.19
350.00,633.43,0.55,0.45,0.01,25000.00,1337.43,17.10,5.25,3.72,3.30,29.37
350.00,633.39,0.55,0.45,0.02,25000.00,1337.28,17.09,5.25,3.72,3.30,29.36
350.00,633.39,0.55,0.45,0.00,25000.00,1002.96,16.60,3.84,3.72,3.08,27.24
400.00,633.39,0.60,0.40,0.03,50000.00,1146.22,5.15,2.74,0.75,11.98,20.62
350.00,633.33,0.55,0.45,0.00,50000.00,2005.51,8.97,5.93,0.93,12.13,27.96
